Block_ID,Type,Assembly,Probability,Entropy
1,Left Operand,%rbp,0.18181818181818182,0.44716938520678134
1,Instruction,lea,0.2727272727272727,0.5112188503407658
1,Right Operand,%rdi,0.18181818181818182,0.44716938520678134
2,Instruction,push,0.16666666666666666,0.430827083453526
2,Left Operand,%rbp,0.3333333333333333,0.5283208335737187
2,Instruction,mov,0.16666666666666666,0.430827083453526
2,Right Operand,%rbp,0.16666666666666666,0.430827083453526
2,Instruction,call,0.16666666666666666,0.430827083453526
2,Instruction,pop,0.16666666666666666,0.430827083453526
2,Instruction,ret,0.16666666666666666,0.430827083453526
2,Instruction,nopl,0.16666666666666666,0.430827083453526
3,Instruction,xor,0.2,0.46438561897747244
3,Right Operand,%ebp,0.06666666666666667,0.26045937304056793
3,Instruction,mov,0.13333333333333333,0.3875854127478025
3,Right Operand,%r9,0.06666666666666667,0.26045937304056793
3,Left Operand,%rsp,0.13333333333333333,0.3875854127478025
3,Right Operand,%rdx,0.06666666666666667,0.26045937304056793
3,Right Operand,%rsp,0.06666666666666667,0.26045937304056793
3,Instruction,push,0.13333333333333333,0.3875854127478025
3,Right Operand,%r8d,0.06666666666666667,0.26045937304056793
3,Right Operand,%ecx,0.06666666666666667,0.26045937304056793
3,Right Operand,%rdi,0.06666666666666667,0.26045937304056793
3,Right Operand,"0x0(%rax,%rax,1)",0.06666666666666667,0.26045937304056793
4,Instruction,lea,0.18181818181818182,0.44716938520678134
4,Right Operand,%rax,0.36363636363636365,0.530702406777199
4,Instruction,je,0.18181818181818182,0.44716938520678134
4,Left Operand,1118<deregister_tm_clones+0x28>,0.18181818181818182,0.44716938520678134
4,Instruction,nopl,0.18181818181818182,0.44716938520678134
4,Left Operand,0x0(%rax),0.18181818181818182,0.44716938520678134
5,Instruction,lea,0.125,0.375
5,Instruction,mov,0.125,0.375
5,Left Operand,%rsi,0.125,0.375
5,Instruction,sar,0.125,0.375
5,Left Operand,%rax,0.125,0.375
5,Instruction,je,0.125,0.375
5,Left Operand,1158<register_tm_clones+0x38>,0.125,0.375
6,Left Operand,$0x0,0.125,0.375
6,Right Operand,0x2edd(%rip),0.0625,0.25
6,Left Operand,%rbp,0.125,0.375
6,Right Operand,0x2e4a(%rip),0.0625,0.25
6,Instruction,mov,0.125,0.375
6,Right Operand,%rbp,0.0625,0.25
6,Right Operand,%rdi,0.0625,0.25
6,Instruction,call,0.125,0.375
6,Right Operand,0x2eb5(%rip),0.0625,0.25
6,Instruction,ret,0.125,0.375
6,Instruction,nopl,0.125,0.375
7,Instruction,endbr64,0.3333333333333333,0.5283208335737187
7,Instruction,jmp,0.3333333333333333,0.5283208335737187
7,Left Operand,1120<register_tm_clones>,0.3333333333333333,0.5283208335737187
7,Instruction,nopl,0.3333333333333333,0.5283208335737187
7,Left Operand,0x0(%rax),0.3333333333333333,0.5283208335737187
8,Left Operand,%rbp,0.14285714285714285,0.40105070315108626
8,Instruction,mov,0.2857142857142857,0.5163871205878868
8,Left Operand,$0x10,0.14285714285714285,0.40105070315108626
8,Right Operand,%rsp,0.14285714285714285,0.40105070315108626
8,Right Operand,%rdi,0.14285714285714285,0.40105070315108626
8,Right Operand,%rsi,0.14285714285714285,0.40105070315108626
8,Instruction,call,0.14285714285714285,0.40105070315108626
