Block_ID_1,Block_ID_2,Similarity
1,2,37.8999226383437
1,3,33.8306822549665
1,4,43.99204335179063
1,5,41.645352676863226
1,6,30.92925051053252
1,7,65.74930306452256
1,8,25.0462024925876
2,3,26.904181426236416
2,4,46.5553788783092
2,5,41.95578288443533
2,6,11.903168598459928
2,7,56.329583841108274
2,8,16.65074780898118
3,4,59.02945632355516
3,5,55.14977952354204
3,6,49.37258999747345
3,7,66.84882030148455
3,8,41.18813666846904
4,5,17.57913302926849
4,6,47.70750488628002
4,7,57.598590072249074
4,8,55.66222965080279
5,6,60.06356189835497
5,7,68.9917677311445
5,8,48.62526710113282
6,7,54.93239247484651
6,8,34.70479137106917
7,8,52.72386403452758
